amount,hour_of_day,is_weekend,payment_method,is_international,merchant_risk_tier,merchant_age_days,is_fraud
13403.19,3,0,WALLET,0,LOW,56,0
7179.59,18,1,UPI,0,LOW,670,0
4501.92,12,1,CARD,0,LOW,686,0
4337.42,0,1,NETBANKING,0,LOW,788,0
233.96,5,1,NETBANKING,0,LOW,605,0
174003.35,20,1,WALLET,1,LOW,922,1
716.48,14,1,UPI,0,LOW,25,0
505.53,14,1,WALLET,0,MEDIUM,911,0
15265.02,7,0,NETBANKING,0,LOW,65,0
189.49,12,1,UPI,0,LOW,366,0
298.81,1,0,NETBANKING,0,MEDIUM,904,0
923.75,9,0,WALLET,0,HIGH,614,0
724.65,13,1,CARD,0,LOW,80,0
291.21,14,1,UPI,0,MEDIUM,34,0
440.63,4,0,NETBANKING,0,LOW,821,0
18983.59,5,1,UPI,0,LOW,666,0
7186.83,19,1,WALLET,0,LOW,644,0
765.39,21,1,NETBANKING,0,LOW,563,0
934.97,21,1,NETBANKING,0,LOW,371,0
146.05,16,0,NETBANKING,0,HIGH,787,0
994.69,12,0,WALLET,0,LOW,259,0
444.91,23,1,WALLET,1,MEDIUM,940,0
18128.16,14,1,CARD,0,LOW,589,0
296.63,21,0,UPI,0,HIGH,493,0
11749.3,15,1,UPI,0,LOW,606,0
969.16,7,0,UPI,0,LOW,98,0
972.68,8,0,UPI,0,LOW,706,0
193.84,20,1,CARD,0,LOW,616,0
966.4,8,1,WALLET,0,LOW,396,0
857.82,3,0,NETBANKING,0,LOW,773,0
422.04,23,0,NETBANKING,0,MEDIUM,935,0
800.58,6,0,NETBANKING,0,LOW,175,0
598.57,7,1,UPI,0,LOW,288,0
10715.9,4,1,UPI,0,LOW,699,0
17527.0,21,0,UPI,0,HIGH,520,0
661.69,22,0,NETBANKING,0,MEDIUM,492,0
13241.67,16,1,CARD,0,LOW,966,0
353.05,15,1,CARD,1,LOW,221,0
4448.15,0,0,WALLET,0,LOW,738,0
3293.64,23,1,CARD,0,MEDIUM,10,0
434.95,12,0,WALLET,0,LOW,242,0
683.17,1,1,UPI,0,LOW,381,0
599.88,5,0,WALLET,1,MEDIUM,424,0
353.64,8,1,WALLET,0,LOW,620,0
555.76,20,0,CARD,0,LOW,827,0
814.12,22,1,UPI,0,LOW,650,0
86.52,12,0,UPI,1,LOW,587,0
616.27,4,1,CARD,0,LOW,78,0
17712.62,19,1,NETBANKING,0,LOW,767,0
4429.67,14,1,NETBANKING,0,LOW,422,0
11753.36,5,0,NETBANKING,0,LOW,379,0
216.05,3,0,WALLET,0,LOW,498,0
730.49,7,1,WALLET,0,MEDIUM,849,0
488.93,21,1,WALLET,0,MEDIUM,132,0
417.83,11,0,NETBANKING,0,LOW,551,0
126.83,4,1,CARD,0,HIGH,351,0
16297.76,12,1,CARD,0,MEDIUM,443,0
17636.59,14,1,UPI,0,LOW,537,0
181.02,17,1,CARD,0,MEDIUM,253,0
446.34,3,1,WALLET,1,LOW,948,0
572.48,23,1,WALLET,0,LOW,701,0
876.39,4,0,WALLET,0,MEDIUM,290,0
833.23,9,0,UPI,0,LOW,247,0
582.84,4,0,WALLET,0,MEDIUM,151,0
592.37,15,1,NETBANKING,0,LOW,984,0
1668.66,9,0,NETBANKING,1,LOW,752,0
409.17,13,1,WALLET,0,MEDIUM,108,0
589.23,8,1,UPI,0,MEDIUM,651,0
939.7,11,0,NETBANKING,0,LOW,76,0
892.07,6,0,NETBANKING,0,HIGH,413,0
261.02,7,0,CARD,0,MEDIUM,428,0
984.55,21,0,UPI,0,LOW,695,0
86.81,0,1,CARD,0,LOW,732,0
27895.82,21,0,CARD,0,LOW,527,0
693.96,18,0,UPI,0,LOW,258,0
468.75,4,0,WALLET,0,LOW,327,0
11345.77,15,1,WALLET,0,LOW,111,0
619.85,17,1,NETBANKING,0,HIGH,579,0
405.97,1,0,UPI,0,HIGH,699,0
288.04,18,0,CARD,0,MEDIUM,345,0
764.43,23,1,WALLET,0,LOW,447,0
604.1,7,1,CARD,1,LOW,669,0
390.93,14,1,WALLET,0,LOW,876,0
296.62,18,1,NETBANKING,0,LOW,446,0
531.35,20,1,WALLET,1,MEDIUM,87,0
159433.96,5,1,WALLET,0,LOW,746,1
340.36,17,1,NETBANKING,0,LOW,822,0
1536.95,23,1,NETBANKING,0,LOW,703,0
27660.82,5,0,UPI,0,MEDIUM,554,0
15233.88,19,1,CARD,0,HIGH,909,0
705.43,0,0,UPI,0,LOW,961,0
8408.75,8,0,UPI,1,MEDIUM,939,0
16357.92,19,1,UPI,0,MEDIUM,825,0
638.7,6,1,NETBANKING,0,MEDIUM,970,0
318.36,0,0,CARD,0,LOW,443,0
483.21,10,0,CARD,0,LOW,822,0
15229.5,5,1,UPI,0,LOW,392,0
561.0,21,1,CARD,0,LOW,419,0
551.12,2,1,CARD,0,HIGH,746,0
772.33,4,0,UPI,0,LOW,752,0
874.89,12,0,NETBANKING,0,MEDIUM,27,0
582.83,18,1,NETBANKING,0,MEDIUM,883,0
5803.49,16,0,UPI,0,MEDIUM,986,0
14381.8,3,0,NETBANKING,0,LOW,952,0
542.98,2,0,NETBANKING,0,MEDIUM,734,0
149.14,5,0,WALLET,0,LOW,412,0
460.03,17,1,CARD,0,LOW,983,0
530.99,6,1,UPI,0,HIGH,216,0
857.65,22,0,WALLET,0,HIGH,67,0
611.39,1,0,NETBANKING,0,LOW,354,0
411.12,8,0,WALLET,0,HIGH,444,0
381.33,16,1,NETBANKING,0,MEDIUM,558,0
18841.32,18,0,WALLET,0,LOW,642,0
419.22,18,1,NETBANKING,0,LOW,895,0
353.22,23,0,NETBANKING,0,LOW,614,0
51.39,14,0,WALLET,0,LOW,227,0
864.96,9,1,CARD,0,MEDIUM,460,0
77.73,6,1,CARD,0,LOW,458,0
792.67,8,0,WALLET,0,MEDIUM,183,0
252.18,3,0,WALLET,0,LOW,849,0
60.37,8,0,WALLET,0,MEDIUM,291,0
911.7,23,1,CARD,0,LOW,235,0
624.68,18,1,UPI,0,LOW,413,0
115210.39,2,1,NETBANKING,0,MEDIUM,266,1
68088.48,16,0,NETBANKING,0,MEDIUM,763,0
544.77,16,1,WALLET,0,LOW,75,0
939.71,5,0,NETBANKING,0,LOW,907,0
11140.45,1,1,WALLET,0,MEDIUM,166,0
533.0,8,1,UPI,0,LOW,16,0
941.79,19,0,CARD,0,HIGH,205,0
252.77,18,1,NETBANKING,0,LOW,789,0
748.67,3,0,CARD,0,LOW,255,0
862.9,5,1,NETBANKING,0,LOW,632,0
5914.92,7,1,UPI,0,LOW,41,0
652.8,1,0,UPI,0,LOW,50,0
888.27,3,0,WALLET,1,HIGH,859,1
13869.73,11,1,CARD,0,LOW,423,0
6665.24,7,1,NETBANKING,0,LOW,182,0
122.18,7,1,NETBANKING,0,LOW,331,0
951.09,14,0,NETBANKING,1,LOW,165,0
533.07,4,1,UPI,0,LOW,977,0
12202.1,19,1,NETBANKING,1,LOW,849,0
72.59,8,0,WALLET,0,LOW,169,0
275.2,22,0,CARD,0,LOW,575,0
322.27,6,0,NETBANKING,0,LOW,634,0
190.21,8,1,CARD,0,LOW,519,0
885.38,20,0,UPI,0,MEDIUM,243,0
651.65,22,1,UPI,0,LOW,490,0
853.38,1,1,CARD,0,MEDIUM,648,0
984.23,8,0,UPI,0,LOW,200,0
10.23,6,1,CARD,0,LOW,394,0
511.86,8,0,WALLET,0,LOW,926,0
725.5,22,0,CARD,0,MEDIUM,245,0
3241.85,15,0,UPI,0,HIGH,325,0
301.66,20,1,WALLET,0,LOW,972,0
343.45,5,1,NETBANKING,0,LOW,954,0
977.54,5,1,CARD,0,MEDIUM,853,0
663.32,18,0,WALLET,0,LOW,638,0
906.79,14,1,NETBANKING,0,MEDIUM,696,0
637.56,15,1,NETBANKING,0,MEDIUM,132,0
5182.2,2,1,UPI,0,MEDIUM,519,0
200.19,13,1,UPI,0,LOW,491,0
651.68,23,1,NETBANKING,1,LOW,897,0
131095.21,5,0,NETBANKING,0,MEDIUM,724,1
998.68,13,0,NETBANKING,0,MEDIUM,23,0
468.48,20,0,CARD,0,MEDIUM,670,0
472.1,10,0,CARD,0,LOW,820,0
589.27,22,0,CARD,0,HIGH,194,0
979.97,23,1,UPI,1,LOW,589,0
257.37,14,0,UPI,0,LOW,260,0
1007.91,2,0,UPI,0,MEDIUM,501,0
7827.43,0,0,UPI,0,LOW,622,0
19043.82,16,1,WALLET,0,LOW,126,0
533.55,8,1,NETBANKING,0,HIGH,384,0
9348.28,10,1,UPI,0,LOW,676,0
6112.44,23,0,WALLET,0,LOW,248,0
501.72,7,1,UPI,0,LOW,267,0
4823.65,7,0,CARD,1,LOW,762,0
828.7,0,0,UPI,0,LOW,494,0
3596.03,9,1,UPI,0,MEDIUM,339,0
17.31,9,1,CARD,0,LOW,108,0
784.62,0,1,NETBANKING,0,LOW,592,0
961.22,22,1,CARD,0,LOW,478,0
297.31,12,1,CARD,0,HIGH,834,0
225.29,3,1,UPI,1,HIGH,836,1
17234.08,7,0,CARD,0,MEDIUM,835,0
623.38,10,0,CARD,0,LOW,990,0
997.76,10,1,WALLET,1,MEDIUM,435,0
466.0,15,0,NETBANKING,0,MEDIUM,761,0
548.78,20,0,NETBANKING,0,LOW,559,0
118.21,14,1,CARD,0,LOW,13,0
153.86,7,1,WALLET,0,LOW,799,0
540.54,19,0,WALLET,1,LOW,803,0
16030.17,23,1,NETBANKING,0,LOW,269,0
952.52,23,0,UPI,0,MEDIUM,797,0
565.59,2,0,UPI,0,LOW,245,0
988.57,9,1,CARD,0,LOW,381,0
558.68,8,0,CARD,0,MEDIUM,88,0
15.99,3,1,NETBANKING,1,MEDIUM,395,0
118.1,22,1,CARD,0,LOW,235,0
28.75,11,0,NETBANKING,0,MEDIUM,425,0
708.88,9,1,NETBANKING,0,LOW,142,0
404.63,6,0,CARD,0,LOW,487,0
247.75,21,1,WALLET,1,LOW,132,0
126.06,7,0,UPI,0,MEDIUM,501,0
265.1,12,0,NETBANKING,0,LOW,403,0
7512.01,23,1,WALLET,0,LOW,572,0
829.67,16,0,UPI,0,LOW,233,0
207.12,18,1,CARD,0,LOW,313,0
21.13,4,1,CARD,0,MEDIUM,364,0
14149.38,9,0,CARD,1,LOW,359,0
14321.75,16,0,CARD,0,LOW,650,0
144.93,4,1,WALLET,0,LOW,210,0
18784.17,15,0,UPI,0,LOW,308,0
856.41,15,1,NETBANKING,0,LOW,884,0
822.25,0,0,WALLET,1,LOW,91,0
620.72,8,0,UPI,0,MEDIUM,873,0
29.55,8,1,UPI,0,MEDIUM,798,0
13936.91,4,0,CARD,1,LOW,367,1
205.61,4,0,WALLET,1,LOW,475,0
804.08,5,0,WALLET,0,HIGH,888,0
14741.82,8,1,NETBANKING,0,LOW,321,0
822.43,17,0,UPI,0,LOW,953,0
160.72,13,1,CARD,0,LOW,75,0
958.25,12,0,CARD,0,LOW,929,0
1942.73,17,0,WALLET,0,MEDIUM,571,0
5457.22,0,0,UPI,0,LOW,381,0
5777.44,1,0,NETBANKING,1,MEDIUM,908,0
145.63,14,1,WALLET,0,MEDIUM,416,0
61.31,23,1,WALLET,0,LOW,634,0
9940.6,6,1,CARD,0,MEDIUM,568,0
47.53,23,1,NETBANKING,0,LOW,806,0
140421.41,17,1,UPI,0,LOW,9,1
848.61,21,0,CARD,0,MEDIUM,926,0
553.14,10,1,WALLET,0,LOW,330,0
894.22,7,1,UPI,0,LOW,754,0
47.52,19,0,NETBANKING,0,LOW,2,0
16525.3,0,0,CARD,0,LOW,810,0
13211.31,16,1,CARD,0,HIGH,502,0
12765.57,12,1,WALLET,0,HIGH,738,0
940.35,7,1,NETBANKING,0,LOW,672,0
180.58,19,1,NETBANKING,0,MEDIUM,263,0
509.86,9,0,UPI,0,LOW,552,0
142795.95,15,0,CARD,0,LOW,259,1
2512.84,1,0,WALLET,0,LOW,717,0
905.64,10,0,NETBANKING,0,MEDIUM,703,0
972.35,16,1,CARD,0,MEDIUM,643,0
695.49,18,1,NETBANKING,0,LOW,466,0
302.94,6,1,UPI,0,MEDIUM,971,0
538.67,19,1,NETBANKING,0,LOW,881,0
946.77,23,1,CARD,0,MEDIUM,324,0
911.79,7,0,NETBANKING,0,LOW,567,0
17613.82,14,1,NETBANKING,0,MEDIUM,558,0
630.86,1,0,UPI,0,MEDIUM,889,0
11362.92,23,0,NETBANKING,0,MEDIUM,827,0
414.5,0,1,WALLET,0,MEDIUM,208,0
716.5,17,1,CARD,0,LOW,941,0
154480.77,17,1,WALLET,0,MEDIUM,230,0
11649.22,17,0,WALLET,0,LOW,96,0
316.28,19,1,NETBANKING,0,MEDIUM,561,0
49.59,9,0,NETBANKING,0,LOW,600,0
11837.61,20,1,WALLET,0,LOW,970,0
18989.79,22,0,NETBANKING,0,HIGH,156,0
146823.55,7,0,UPI,1,LOW,948,1
239.81,13,1,CARD,0,MEDIUM,761,0
6895.29,18,1,NETBANKING,0,MEDIUM,278,0
207.02,18,1,WALLET,0,HIGH,819,0
959.63,15,0,UPI,1,MEDIUM,445,0
142149.54,1,1,CARD,1,LOW,400,1
14.86,4,0,WALLET,0,LOW,300,0
363.56,14,0,NETBANKING,1,LOW,409,0
14186.99,11,0,NETBANKING,0,LOW,473,0
955.76,2,1,WALLET,0,MEDIUM,220,0
19439.4,10,0,NETBANKING,0,MEDIUM,540,0
510.44,9,0,UPI,0,MEDIUM,293,0
610.92,2,0,UPI,0,MEDIUM,440,0
687.66,14,0,WALLET,0,MEDIUM,380,0
112.49,14,1,UPI,0,LOW,170,0
44.91,15,1,NETBANKING,0,MEDIUM,293,0
16754.68,0,1,WALLET,0,LOW,980,0
59.97,13,0,NETBANKING,0,LOW,784,0
8972.01,11,0,WALLET,0,MEDIUM,655,0
19815.34,20,0,CARD,0,LOW,708,0
374.43,16,1,UPI,0,MEDIUM,985,0
12322.4,18,0,UPI,0,LOW,333,0
4183.86,19,1,UPI,0,MEDIUM,638,0
4483.93,16,1,UPI,0,MEDIUM,990,0
5215.28,0,0,NETBANKING,0,MEDIUM,577,0
162510.69,15,1,CARD,0,MEDIUM,726,1
574.93,4,0,NETBANKING,0,LOW,137,0
175410.11,22,0,CARD,0,MEDIUM,702,1
3576.74,21,0,UPI,0,LOW,611,0
108738.85,3,0,CARD,0,LOW,379,1
552.89,14,1,CARD,0,LOW,291,0
342.06,13,0,WALLET,0,MEDIUM,515,0
747.84,5,0,WALLET,0,LOW,173,0
15461.91,18,1,WALLET,1,MEDIUM,687,0
129.68,10,1,UPI,0,LOW,355,0
7182.45,3,0,WALLET,0,MEDIUM,60,0
690.85,7,0,UPI,0,LOW,689,0
116.79,17,1,WALLET,0,LOW,643,0
555.33,2,0,WALLET,0,LOW,978,0
516.88,9,1,UPI,0,MEDIUM,853,0
180.1,4,0,NETBANKING,0,MEDIUM,896,0
621.27,23,0,CARD,0,MEDIUM,242,0
12.55,6,0,CARD,0,MEDIUM,100,0
164.29,1,0,NETBANKING,0,LOW,185,0
16857.11,8,0,UPI,0,LOW,793,0
13756.35,0,1,CARD,0,HIGH,827,0
9505.18,14,1,UPI,1,MEDIUM,110,0
15787.87,8,0,WALLET,0,MEDIUM,280,0
9527.59,21,1,UPI,1,LOW,363,0
6280.96,20,0,CARD,0,HIGH,815,0
566.59,20,1,CARD,0,HIGH,597,0
818.5,21,1,WALLET,0,LOW,748,0
615.97,8,1,CARD,0,LOW,153,0
3297.86,18,0,WALLET,0,MEDIUM,162,0
346.53,3,0,UPI,0,MEDIUM,868,0
236.45,7,0,NETBANKING,0,LOW,734,0
163656.98,22,0,CARD,0,MEDIUM,400,1
19213.12,19,0,WALLET,0,LOW,655,0
4372.99,7,0,UPI,0,LOW,979,0
296.61,15,0,WALLET,0,MEDIUM,913,0
535.36,13,1,WALLET,0,LOW,778,0
478.31,0,1,UPI,0,LOW,373,0
276.63,21,0,NETBANKING,0,MEDIUM,974,0
776.38,12,0,WALLET,0,MEDIUM,885,0
459.75,11,0,NETBANKING,0,LOW,461,0
256.58,5,0,CARD,0,LOW,53,0
853.85,5,0,WALLET,0,MEDIUM,813,0
966.61,6,0,UPI,0,LOW,10,0
889.39,18,1,UPI,0,LOW,220,0
384.27,9,1,CARD,0,LOW,694,0
115.46,1,1,WALLET,1,LOW,498,1
319.73,0,0,CARD,0,LOW,846,0
7898.08,8,0,UPI,0,LOW,137,0
172.18,22,0,UPI,0,LOW,195,0
943.43,2,1,WALLET,0,MEDIUM,161,0
509.97,2,1,NETBANKING,0,LOW,645,0
5459.41,17,1,UPI,0,LOW,881,0
13426.93,2,1,UPI,0,LOW,48,0
11650.26,12,0,WALLET,1,LOW,94,0
817.9,0,0,UPI,0,LOW,84,0
855.27,12,0,CARD,0,LOW,695,0
144188.26,11,0,NETBANKING,0,LOW,200,0
101.16,19,0,WALLET,0,LOW,484,0
16243.58,9,0,WALLET,0,MEDIUM,391,0
78421.14,22,1,CARD,0,MEDIUM,333,0
765.93,6,0,CARD,0,LOW,916,0
795.72,9,1,WALLET,0,MEDIUM,996,0
12608.63,12,0,UPI,0,HIGH,911,0
163.47,8,0,WALLET,0,LOW,615,0
463.16,14,0,UPI,0,LOW,813,0
106.58,15,1,UPI,1,MEDIUM,161,0
3975.91,19,1,UPI,0,LOW,409,0
64.13,20,0,NETBANKING,0,LOW,953,0
13459.24,2,1,UPI,0,MEDIUM,912,0
15342.16,18,1,NETBANKING,0,LOW,877,0
273.03,19,0,WALLET,0,HIGH,585,0
6220.64,9,1,WALLET,0,LOW,674,0
194.72,5,0,UPI,1,MEDIUM,553,0
431.01,6,0,CARD,0,LOW,747,0
13157.28,12,0,NETBANKING,0,HIGH,371,0
1790.22,1,1,UPI,0,LOW,671,0
32822.18,1,0,WALLET,0,LOW,782,0
986.64,19,1,UPI,0,MEDIUM,922,0
659.24,18,0,WALLET,0,MEDIUM,371,0
8222.67,9,0,UPI,0,HIGH,586,0
301.75,23,0,NETBANKING,0,LOW,380,0
861.58,6,0,CARD,0,HIGH,39,0
15563.07,13,0,CARD,0,LOW,912,0
568.45,1,0,UPI,0,MEDIUM,650,0
976.77,22,1,UPI,0,MEDIUM,354,0
723.79,21,1,CARD,0,LOW,565,0
67.26,22,0,NETBANKING,0,LOW,41,0
392.31,20,1,NETBANKING,0,LOW,823,0
905.57,8,1,CARD,0,LOW,227,0
5274.23,21,0,UPI,0,LOW,10,0
4266.81,9,0,CARD,0,HIGH,808,0
566.78,12,1,UPI,1,LOW,623,0
197.52,3,1,UPI,0,LOW,413,0
19268.07,22,1,CARD,0,LOW,173,0
5561.77,1,0,NETBANKING,0,LOW,844,0
10596.19,16,1,CARD,0,HIGH,239,0
783.23,14,1,UPI,0,LOW,906,0
14428.08,18,1,WALLET,0,MEDIUM,488,0
2694.99,2,0,UPI,0,HIGH,272,0
260.69,5,0,WALLET,1,MEDIUM,546,0
564.05,16,1,CARD,0,LOW,93,0
987.01,4,1,CARD,0,LOW,500,0
631.28,3,0,WALLET,0,LOW,451,0
142.97,0,0,WALLET,0,LOW,176,0
706.71,15,1,WALLET,0,LOW,932,0
483.94,3,0,UPI,0,LOW,533,0
512.93,9,0,WALLET,0,LOW,402,0
917.81,5,1,NETBANKING,0,LOW,562,0
343.16,7,1,WALLET,0,MEDIUM,456,0
2977.52,12,0,NETBANKING,0,LOW,934,0
437.81,4,0,NETBANKING,0,MEDIUM,411,0
11177.6,23,0,NETBANKING,0,MEDIUM,503,0
827.03,6,0,WALLET,0,HIGH,803,0
740.21,3,1,NETBANKING,0,LOW,751,0
311.25,2,1,WALLET,0,LOW,453,0
191.12,10,1,NETBANKING,0,MEDIUM,26,0
176.28,1,0,CARD,0,LOW,437,0
767.54,7,0,WALLET,0,LOW,713,0
178.77,10,0,CARD,0,LOW,817,0
853.75,1,0,WALLET,0,MEDIUM,568,0
13240.18,11,1,WALLET,0,MEDIUM,63,0
527.7,22,1,NETBANKING,0,LOW,269,0
55.16,7,1,UPI,0,HIGH,285,0
345.47,8,0,NETBANKING,0,LOW,517,0
294.42,12,1,UPI,0,LOW,322,0
18258.96,23,0,UPI,1,MEDIUM,428,0
967.79,23,1,CARD,0,MEDIUM,955,0
109.26,3,1,UPI,0,LOW,829,0
193.32,6,1,CARD,0,LOW,580,0
11054.85,7,0,CARD,0,LOW,133,0
438.89,5,0,NETBANKING,0,MEDIUM,459,0
260.25,23,1,CARD,0,LOW,177,0
581.16,12,1,CARD,0,LOW,96,0
991.4,21,1,WALLET,0,MEDIUM,541,0
8562.28,23,0,UPI,0,LOW,458,0
367.02,8,0,UPI,0,LOW,535,0
595.23,5,0,UPI,1,LOW,275,0
911.06,19,1,WALLET,0,HIGH,787,0
669.09,7,0,CARD,1,LOW,561,0
820.98,17,1,UPI,0,LOW,657,0
243.54,20,1,WALLET,0,MEDIUM,672,0
937.22,12,0,WALLET,0,LOW,732,0
129.52,16,1,UPI,0,HIGH,42,0
363.12,21,0,CARD,0,LOW,549,0
15975.08,16,0,CARD,0,MEDIUM,389,0
98.42,13,1,CARD,0,HIGH,474,0
316.98,16,0,UPI,0,LOW,989,0
202.81,10,1,NETBANKING,0,LOW,796,0
279.03,1,1,UPI,0,MEDIUM,256,0
85.31,12,1,CARD,0,MEDIUM,443,0
290.34,20,1,CARD,0,LOW,585,0
10185.46,4,1,WALLET,0,MEDIUM,973,0
134.94,11,0,CARD,0,LOW,161,0
391.51,18,1,NETBANKING,0,LOW,370,0
17805.04,6,0,UPI,1,MEDIUM,501,0
713.23,0,1,WALLET,1,LOW,52,0
868.85,10,0,WALLET,1,LOW,937,0
891.78,16,1,WALLET,0,MEDIUM,930,0
463.97,19,0,CARD,0,LOW,737,0
527.09,20,1,NETBANKING,0,MEDIUM,620,0
926.8,11,0,WALLET,0,MEDIUM,305,0
317.71,23,0,CARD,0,LOW,120,0
1180.62,8,0,UPI,1,LOW,8,1
11496.95,0,1,CARD,0,LOW,550,0
856.92,19,1,UPI,1,LOW,936,0
401.51,23,0,NETBANKING,1,HIGH,148,1
604.2,4,0,UPI,0,MEDIUM,857,0
14177.9,13,1,WALLET,0,LOW,493,0
685.88,3,0,UPI,0,LOW,5,0
956.34,1,0,UPI,0,MEDIUM,402,0
830.51,10,0,WALLET,0,HIGH,428,0
823.04,8,0,CARD,0,MEDIUM,147,0
319.15,19,0,NETBANKING,0,LOW,616,0
603.12,5,1,UPI,0,HIGH,499,0
988.85,16,1,NETBANKING,0,LOW,335,0
12.66,18,0,WALLET,1,LOW,253,0
350.0,5,1,NETBANKING,0,LOW,295,0
492.54,9,1,UPI,0,MEDIUM,574,0
525.01,22,0,NETBANKING,0,LOW,176,0
490.03,6,0,CARD,1,MEDIUM,350,0
151.34,4,1,CARD,0,LOW,667,0
42.03,19,0,UPI,0,LOW,860,0
337.1,8,1,CARD,0,LOW,75,0
199.92,21,0,NETBANKING,0,MEDIUM,106,0
3474.91,7,0,WALLET,0,MEDIUM,805,0
6254.88,11,1,UPI,1,LOW,90,0
469.52,5,0,WALLET,0,LOW,9,0
14837.3,13,0,CARD,0,HIGH,612,0
322.18,12,0,NETBANKING,0,LOW,566,0
5361.41,9,1,UPI,0,HIGH,234,0
11852.99,9,1,CARD,0,LOW,624,0
156.59,18,1,UPI,0,LOW,786,0
482.35,22,1,WALLET,0,MEDIUM,632,0
16794.09,21,1,UPI,0,LOW,505,0
16429.98,5,0,WALLET,0,LOW,921,0
463.41,22,0,UPI,0,LOW,342,0
15560.64,16,0,UPI,0,LOW,481,0
215.26,11,0,CARD,0,LOW,630,0
13568.91,19,1,UPI,0,MEDIUM,218,0
18014.83,8,0,UPI,0,MEDIUM,170,0
923.97,7,0,UPI,0,MEDIUM,583,0
7885.57,15,0,UPI,1,LOW,870,0
283.79,4,0,NETBANKING,0,LOW,316,0
250.04,23,0,NETBANKING,0,LOW,301,0
831.11,1,1,WALLET,0,MEDIUM,895,0
552.58,12,1,UPI,0,LOW,747,0
766.83,23,1,CARD,0,LOW,730,0
485.43,1,0,UPI,0,LOW,58,0
173.06,19,0,UPI,0,HIGH,376,0
856.4,9,0,WALLET,0,MEDIUM,983,0
